nerd01,nerd02,nerd03,nerd04,nerd05,nerd06,nerd07,nerd08,nerd09,nerd10,nerd11,nerd12,nerd13,nerd14,nerd15,nerd16,nerd17,nerd18,nerd19,nerd20,nerd21,nerd22,nerd23,nerd24,nerd25,nerd26,country,introelapse,testelapse,surveyelapse,pers.ext.1,pers.agr.1,pers.con.1,pers.neu.1,pers.ope.1,pers.ext.2,pers.agr.2,pers.con.2,pers.neu.2,pers.ope.2,vocab1,vocab2,vocab3,vocab4,vocab5,vocab6,vocab7,vocab8,vocab9,vocab10,vocab11,vocab12,vocab13,vocab14,vocab15,vocab16,education,urban,gender,engnat,age,screenw,screenh,hand,religion,orientation,voted,married,familysize,major,race_arab,race_asian,race_black,race_white,race_hispanic,race_nativeam,race_nativeau,race_other,nerdy,ASD
4,4,4,4,4,2,5,4,1,3,4,4,3,5,5,4,5,4,5,5,1,1,1,3,3,5,MY,5,116,236,2,4,5,2,5,7,5,2,7,4,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,2,2,1,2,20,640,360,1,10,1,2,1,4,Chemical engineering,0,1,0,0,0,0,0,0,7,2
5,5,5,5,1,4,3,5,3,5,5,5,4,2,5,5,5,4,5,2,4,3,5,4,1,3,US,3,70,142,1,5,5,5,2,7,6,5,3,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,1,24,768,1024,1,6,1,2,1,7,,0,0,0,1,1,0,0,0,6,2
4,4,5,4,4,4,5,5,5,3,2,3,5,4,2,5,4,4,2,5,3,2,4,3,3,4,SE,14,121,136,1,6,4,6,2,6,3,5,3,4,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,2,2,2,15,1920,1080,1,2,2,2,1,2,,0,0,0,1,0,0,0,0,6,1
4,4,4,4,4,4,4,2,4,5,4,4,4,1,1,4,4,5,5,4,2,1,5,4,4,4,US,2,69,170,3,2,6,5,5,6,5,1,5,5,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,2,2,2,1,29,1680,1050,1,4,1,2,2,1,Psychology,0,0,0,1,0,0,0,0,6,2
3,4,4,1,4,4,4,2,4,5,4,4,4,5,4,3,5,4,3,4,4,2,5,5,1,4,US,1,96,109,1,1,7,5,6,7,7,2,6,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,1,2,1,44,1371,857,1,6,1,1,2,6,Information Technology,0,0,0,1,0,0,0,0,4,2
4,1,5,4,5,5,5,4,3,5,3,4,5,4,2,5,4,5,2,4,1,4,4,2,3,4,US,12,102,101,1,2,6,1,5,7,5,2,7,6,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,1,20,1366,768,1,2,1,2,1,3,chemical engineering,0,0,0,1,1,0,0,0,6,2
5,5,5,5,5,4,5,3,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,IT,5,373,204,2,7,4,7,7,6,1,2,7,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,2,1,1,2,21,360,640,1,12,1,1,1,1,Computer science,0,0,0,1,0,0,0,0,7,2
5,4,5,5,5,3,5,5,5,5,4,4,1,4,5,4,4,5,5,2,4,1,5,5,2,5,US,24,179,198,3,5,3,7,6,5,6,5,1,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,3,2,1,17,320,401,1,2,2,2,1,5,Business ,0,0,0,1,0,1,0,0,7,2
3,4,4,3,4,4,4,3,4,4,2,4,3,4,2,3,4,3,3,4,2,3,4,3,4,4,GL,2,95,121,2,6,6,2,6,6,4,2,6,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,1,2,41,1440,900,1,2,1,1,1,1,,0,0,0,0,0,0,0,1,5,2
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,US,2,105,332,1,6,5,3,7,7,4,2,6,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,2,2,1,14,854,534,2,1,2,2,1,9,"English, science, or psychology",0,0,0,1,0,1,0,1,7,1
